Review #,Brand,Variety,Style,Country,Stars,Top Ten,Review
2580.0,New Touch,Ts Restaurant Tantanmen,Cup,Japan,3.75,,2580.0
2579.0,Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guanmiao Noodles,Pack,Taiwan,1.0,,2579.0
2578.0,Nissin,Cup Noodles Chicken Vegetable,Cup,United States,2.25,,2578.0
2577.0,Wei Lih,Gge Ramen Snack Tomato Flavor,Pack,Taiwan,2.75,,2577.0
2576.0,Ching'S Secret,Singapore Curry,Pack,India,3.75,,2576.0
2575.0,Samyang Foods,Kimchi Song Song Ramen,Pack,Korea South,4.75,,2575.0
2574.0,Acecook,Spice Deli Tantan Men With Cilantro,Cup,Japan,4.0,,2574.0
2573.0,Ikeda Shoku,Nabeyaki Kitsune Udon,Tray,Japan,3.75,,2573.0
2572.0,Ripe'N'Dry,Hokkaido Soy Sauce Ramen,Pack,Japan,0.25,,2572.0
2571.0,Koka,The Original Spicy Stirfried Noodles,Pack,Singapore,2.5,,2571.0
2570.0,Tao Kae Noi,Creamy Tom Yum Kung Flavour,Pack,Thailand,5.0,#3,2570.0
2569.0,Yamachan,Yokohama Tonkotsu Shoyu,Pack,United States,5.0,#4,2569.0
2568.0,Nongshim,Mr Bibim Stirfried Kimchi Flavor,Pack,Korea South,4.25,,2568.0
2567.0,Nissin,Deka Buto Kimchi Pork Flavor,Bowl,Japan,4.5,,2567.0
2566.0,Nissin,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5.0,,2566.0
2565.0,Koka,Mushroom Flavour Instant Noodles,Cup,Singapore,3.5,,2565.0
2564.0,Trdp,Mario Masala Noodles,Pack,India,3.75,,2564.0
2563.0,Yamachan,Tokyo Shoyu Ramen,Pack,United States,5.0,,2563.0
2562.0,Binh Tay,Mi Hai Cua,Pack,Vietnam,4.0,,2562.0
2561.0,Paldo,Premium Gomtang,Pack,Korea South,4.0,,2561.0
